x,y,z,yaw,velocity,change_flag
0.0,0.0,0.0,0.0,5.0,0
0.5,0.3128689508046174,0.0,0.5591297354653083,5.0,0
1.0,0.6180339887498948,0.0,0.5535743588970452,5.0,0
1.5,0.9079809994790936,0.0,0.5443225731617454,5.0,0
2.0,1.1755705045849465,0.0,0.531396516603535,5.0,0
2.5,1.414213562373095,0.0,0.5148059551198108,5.0,0
3.0,1.618033988749895,0.0,0.4946257405275964,5.0,0
3.5,1.7820130483767358,0.0,0.4709507441560803,5.0,0
4.0,1.902113032590307,0.0,0.44387925940723716,5.0,0
4.5,1.9753766811902755,0.0,0.4136457877993969,5.0,0
5.0,2.0,0.0,0.505063771123649,5.0,0
5.5,1.975376681190275500,0.0,0.3448112210555813,5.0,0
6.0,1.902113032590307,0.0,0.30699636257794677,5.0,0
6.5,1.7820130483767358,0.0,0.2675812454650869,5.0,0
7.0,1.618033988749895,0.0,0.22715816342547557,5.0,0
7.5,1.4142135623730951,0.0,0.1863734992965991,5.0,0
8.0,1.1755705045849465,0.0,0.1459021271495547,5.0,0
8.5,0.9079809994790929,0.0,0.10641774826216521,5.0,0
9.0,0.618033988749895,0.0,0.06856280611462078,5.0,0
9.5,0.3128689508046196,0.0,0.032921672525054096,5.0,0
10.0,2.4492935982947064e-16,0.0,2.4492935982947065e-17,5.0,0
10.5,-0.3128689508046146,0.0,-0.029788227085030865,5.0,0
11.0,-0.6180339887498955,0.0,-0.056125899350133,5.0,0
11.5,-0.9079809994790942,0.0,-0.07879141562120946,5.0,0
12.0,-1.1755705045849467,0.0,-0.0976526139269412,5.0,0
12.5,-1.414213562373095,0.0,-0.11265804047541204,5.0,0
13.0,-1.6180339887498947,0.0,-0.12382735657884415,5.0,0
13.5,-1.7820130483767356,0.0,-0.1312422503432,5.0,0
14.0,-1.902113032590307,0.0,-0.15038100562803,5.0,0
14.5,-1.9753766811902758,0.0,-0.1353993507232607,5.0,0
15.0,-2.0,0.0,-0.13255153229667402,5.0,0
15.5,-1.9753766811902755,0.0,-0.12676032861386294,5.0,0
16.0,-1.9021130325903075,0.0,-0.11832671498276354,5.0,0
16.5,-1.7820130483767358,0.0,-0.10758379208594003,5.0,0
17.0,-1.618033988749894,0.0,-0.09489261665652096,5.0,0
17.5,-1.4142135623730954,0.0,-0.0806369719531944,5.0,0
18.0,-1.1755705045849467,0.0,-0.06521685396757683,5.0,0
18.5,-0.9079809994790939,0.0,-0.04904070202888922,5.0,0
19.0,-0.6180339887498955,0.0,-0.032516639529202876,5.0,0
19.5,-0.3128689508046046,0.0,-0.016043183956910028,5.0,0
