x,y,z,yaw,velocity,change_flag
192.0370,-133.2533,0.0000,-0.0017,10.0000,0
193.0370,-133.2549,0.0000,-0.0017,10.0000,0
194.0370,-133.2566,0.0000,-0.0017,10.0000,0
195.0370,-133.2583,0.0000,-0.0017,10.0000,0
196.0370,-133.2600,0.0000,-0.0017,10.0000,0
197.0370,-133.2617,0.0000,-0.0017,10.0000,0
198.0370,-133.2634,0.0000,-0.0017,10.0000,0
199.0370,-133.2650,0.0000,-0.0017,10.0000,0
200.0370,-133.2667,0.0000,-0.0017,10.0000,0
201.0370,-133.2684,0.0000,-0.0017,10.0000,0
202.0370,-133.2701,0.0000,-0.0017,10.0000,0
203.0370,-133.2718,0.0000,-0.0017,10.0000,0
204.0370,-133.2734,0.0000,-0.0017,10.0000,0
205.0370,-133.2751,0.0000,-0.0017,10.0000,0
206.0370,-133.2768,0.0000,-0.0017,10.0000,0
207.0370,-133.2785,0.0000,-0.0017,10.0000,0
208.0369,-133.2802,0.0000,-0.0017,10.0000,0
209.0369,-133.2818,0.0000,-0.0017,10.0000,0
210.0369,-133.2835,0.0000,-0.0017,10.0000,0
211.0369,-133.2852,0.0000,-0.0017,10.0000,0
212.0369,-133.2869,0.0000,-0.0017,10.0000,0
213.0369,-133.2886,0.0000,-0.0017,10.0000,0
214.0369,-133.2903,0.0000,-0.0017,10.0000,0
215.0369,-133.2919,0.0000,-0.0017,10.0000,0
216.0369,-133.2936,0.0000,-0.0017,10.0000,0
217.0369,-133.2953,0.0000,-0.0017,10.0000,0
218.0369,-133.2970,0.0000,-0.0017,10.0000,0
219.0369,-133.2987,0.0000,-0.0017,10.0000,0
220.0369,-133.3003,0.0000,-0.0017,10.0000,0
221.0369,-133.3020,0.0000,-0.0017,10.0000,0
222.0369,-133.3037,0.0000,-0.0017,10.0000,0
223.0369,-133.3054,0.0000,-0.0017,10.0000,0
224.0369,-133.3071,0.0000,-0.0017,10.0000,0
225.0369,-133.3087,0.0000,-0.0017,10.0000,0
226.0369,-133.3104,0.0000,-0.0017,10.0000,0
227.0369,-133.3121,0.0000,-0.0017,10.0000,0
228.0369,-133.3138,0.0000,-0.0017,10.0000,0
229.0369,-133.3155,0.0000,-0.0017,10.0000,0
230.0369,-133.3172,0.0000,-0.0017,10.0000,0
231.0369,-133.3188,0.0000,-0.0017,10.0000,0
232.0369,-133.3205,0.0000,-0.0017,10.0000,0
233.0369,-133.3222,0.0000,-0.0017,10.0000,0
234.0369,-133.3239,0.0000,-0.0017,10.0000,0
235.0369,-133.3256,0.0000,-0.0017,10.0000,0
236.0369,-133.3272,0.0000,-0.0017,10.0000,0
237.0369,-133.3289,0.0000,-0.0017,10.0000,0
