x,y,z,yaw,velocity,change_flag
254.2758,-133.4231,0.0000,3.1345,5.5,0
253.2758,-133.4159,0.0000,3.1345,5.5,0
252.2759,-133.4088,0.0000,3.1345,5.5,0
251.2759,-133.4017,0.0000,3.1345,5.5,0
250.2759,-133.3945,0.0000,3.1345,5.5,0
249.2759,-133.3874,0.0000,3.1345,5.5,0
248.2760,-133.3803,0.0000,3.1345,5.5,0
247.2760,-133.3731,0.0000,3.1345,5.5,0
246.2760,-133.3660,0.0000,3.1345,5.5,0
245.2760,-133.3589,0.0000,3.1345,5.5,0
244.2761,-133.3518,0.0000,3.1345,5.5,0
243.2761,-133.3446,0.0000,3.1345,5.5,0
242.2761,-133.3375,0.0000,3.1345,5.5,0
241.2761,-133.3304,0.0000,3.1345,5.5,0
240.2762,-133.3232,0.0000,3.1345,5.5,0
239.2762,-133.3161,0.0000,3.1345,5.5,0
238.2762,-133.3090,0.0000,3.1345,5.5,0
237.2762,-133.3018,0.0000,3.1345,5.5,0
236.2763,-133.2947,0.0000,3.1345,5.5,0
235.2763,-133.2876,0.0000,3.1345,5.5,0
234.2763,-133.2805,0.0000,3.1345,5.5,0
233.2763,-133.2733,0.0000,3.1345,5.5,0
232.2764,-133.2662,0.0000,3.1345,5.5,0
231.2764,-133.2591,0.0000,3.1345,5.5,0
230.2764,-133.2519,0.0000,3.1345,5.5,0
229.2764,-133.2448,0.0000,3.1345,5.5,0
228.2765,-133.2377,0.0000,3.1345,5.5,0
227.2765,-133.2305,0.0000,3.1345,5.5,0
226.2765,-133.2234,0.0000,3.1345,5.5,0
225.2765,-133.2163,0.0000,3.1345,5.5,0
224.2766,-133.2092,0.0000,3.1345,5.5,0
223.2766,-133.2020,0.0000,3.1345,5.5,0
222.2766,-133.1949,0.0000,3.1345,5.5,0
221.2766,-133.1878,0.0000,3.1345,5.5,0
220.2767,-133.1806,0.0000,3.1345,5.5,0
219.2767,-133.1735,0.0000,3.1345,5.5,0
219.2133,-133.1731,0.0000,-3.1378,5.5,0
218.2133,-133.1769,0.0000,-3.1378,5.5,0
217.2133,-133.1807,0.0000,-3.1378,5.5,0
216.2133,-133.1845,0.0000,-3.1378,5.5,0
215.2133,-133.1883,0.0000,-3.1378,5.5,0
214.2133,-133.1921,0.0000,-3.1378,5.5,0
213.2134,-133.1959,0.0000,-3.1378,5.5,0
212.2134,-133.1997,0.0000,-3.1378,5.5,0
211.2134,-133.2035,0.0000,-3.1378,5.5,0
210.2134,-133.2073,0.0000,-3.1378,5.5,0
209.2134,-133.2111,0.0000,-3.1378,5.5,0
208.2134,-133.2149,0.0000,-3.1378,5.5,0
207.2134,-133.2188,0.0000,-3.1378,5.5,0
206.2134,-133.2226,0.0000,-3.1378,5.5,0
205.2134,-133.2264,0.0000,-3.1378,5.5,0
204.2134,-133.2302,0.0000,-3.1378,5.5,0
203.2134,-133.2340,0.0000,-3.1378,5.5,0
202.2134,-133.2378,0.0000,-3.1378,5.5,0
201.2134,-133.2416,0.0000,-3.1378,5.5,0
200.2134,-133.2454,0.0000,-3.1378,5.5,0
199.2135,-133.2492,0.0000,-3.1378,5.5,0
198.2135,-133.2530,0.0000,-3.1378,5.5,0
197.2135,-133.2568,0.0000,-3.1378,5.5,0
196.2135,-133.2606,0.0000,-3.1378,5.5,0
195.2135,-133.2645,0.0000,-3.1378,5.5,0
194.2135,-133.2683,0.0000,-3.1378,5.5,0
193.2135,-133.2721,0.0000,-3.1378,5.5,0
192.2135,-133.2759,0.0000,-3.1378,5.5,0
191.2135,-133.2797,0.0000,-3.1378,5.5,0
190.2135,-133.2835,0.0000,-3.1378,5.5,0
189.2135,-133.2873,0.0000,-3.1378,5.5,0
188.2135,-133.2911,0.0000,-3.1378,5.5,0
187.2135,-133.2949,0.0000,-3.1378,5.5,0
186.2135,-133.2987,0.0000,-3.1378,5.5,0
185.2136,-133.3025,0.0000,-3.1378,5.5,0
184.2136,-133.3063,0.0000,-3.1378,5.5,0
183.2136,-133.3102,0.0000,-3.1378,5.5,0
182.2136,-133.3140,0.0000,-3.1378,5.5,0
181.2136,-133.3178,0.0000,-3.1378,5.5,0
180.4636,-133.3206,0.0000,3.1333,5.5,0
179.4636,-133.3124,0.0000,3.1333,5.5,0
178.4637,-133.3041,0.0000,3.1333,5.5,0
177.4637,-133.2958,0.0000,3.1333,5.5,0
176.4637,-133.2876,0.0000,3.1333,5.5,0
175.4638,-133.2793,0.0000,3.1333,5.5,0
174.4638,-133.2710,0.0000,3.1333,5.5,0
173.4638,-133.2628,0.0000,3.1333,5.5,0
172.4639,-133.2545,0.0000,3.1333,5.5,0
171.4639,-133.2462,0.0000,3.1333,5.5,0
170.4639,-133.2380,0.0000,3.1333,5.5,0
169.4640,-133.2297,0.0000,3.1333,5.5,0
168.4640,-133.2215,0.0000,3.1333,5.5,0
167.4640,-133.2132,0.0000,3.1333,5.5,0
166.4641,-133.2049,0.0000,3.1333,5.5,0
165.4641,-133.1967,0.0000,3.1333,5.5,0
164.4641,-133.1884,0.0000,3.1333,5.5,0
163.4642,-133.1801,0.0000,3.1333,5.5,0
162.4642,-133.1719,0.0000,3.1333,5.5,0
161.4642,-133.1636,0.0000,3.1333,5.5,0
